OBJECTID,HighwayBridgeId,BridgeClass,Tract,Name,Owner,BridgeType,Width,NumSpans,Length,MaxSpanLength,SkewAngle,SeatLength,SeatWidth,YearBuilt,YearRemodeled,PierType,FoundationType,ScourIndex,Traffic,TrafficIndex,Condition,Cost,Latitude,Longitude,Comment
1,OR000280,HWB1 ,41011000400,COOS BAY (MCCULLOUGH BR),State Highway Agency,410,11.0000000,30,1627,242,0,,,1967,1967,,,5,14800,,666,100008.080000000001746,43.424303000000002,-124.222789000000006,Functionally Obsolete
2,OR000446,HWB1 ,41051005100,WILLAMETTE RIVER,State Highway Agency,412,44.0000000,3,656,382,0,,,1973,,,,3,128300,,666,161291.457800000003772,45.536957999999998,-122.684157999999996,Functionally Obsolete
3,OR000450,HWB1 ,41027950100,BR OF THE GODS,Local Toll Authority,410,7.0000000,9,565,216,0,,,1924,,,,U,5208,,566,22100.461299999999028,45.662182999999999,-121.899708000000004,Functionally Obsolete
4,OR000563,HWB1 ,41051007202,COLUMBIA BLVD & UPRR,State Highway Agency,203,15.0000000,13,210,210,4,,,1929,,,,N,11500,,666,17602.137299999998504,45.585788999999998,-122.686914000000002,Functionally Obsolete
5,OR000631,HWB1 ,41051004200,WILLAMETTE RV/UPRR & P&W,State Highway Agency,313,15.0000000,15,1099,368,0,,,1931,,,,8,21400,,666,92117.852100000003702,45.586382999999998,-122.762122000000005,Functionally Obsolete
6,OR000733,HWB1 ,41051007201,COLUMBIA RIVER,State Highway Agency,315,15.0000000,12,1078,162,0,,,1958,,,,3,132300,,656,90357.638300000005984,45.614593999999997,-122.677400000000006,Functionally Obsolete
7,OR000878,HWB1 ,41007950200,COLUMBIA RIVER/HWY 2W,State Highway Agency,410,10.0000000,41,2027,376,0,,,1966,,,,5,21800,,566,113268.356799999994109,46.190880999999997,-123.849571999999995,
8,OR001286,HWB1 ,41051010200,COLUMBIA RIVER NO CHANN,State Highway Agency,605,46.0000000,23,2266,183,40,,,1982,,,,3,155400,,666,582468.694400000036694,45.584888999999997,-122.543958000000003,
9,OR001583,HWB1 ,41059950900,COLUMBIA RIVER,State Highway Agency,621,15.0000000,8,1046,201,0,,,1988,,,,8,14000,,767,87675.407900000005611,45.928871999999998,-119.326822000000007,
10,OR004416,HWB1 ,41065970100,COLUMBIA RIVER,State Highway Agency,410,10.0000000,30,1020,176,0,,,1954,,,,5,7200,,456,56997.397100000001956,45.610469000000002,-121.139503000000005,Structurally Deficient
11,OR000001,HWB10,41065970800,WARM SPRINGS RIVER,Bureau of Indian Affairs,202,5.0000000,3,41,26,0,,,1966,,,,8,20,,777,525.052099999999996,44.864007999999998,-121.077602999999996,
12,OR000002,HWB10,41065970800,WARM SPRINGS RIVER,Bureau of Indian Affairs,202,8.0000000,3,44,18,0,,,1963,,,,8,200,,777,901.552800000000047,44.862053000000003,-121.201317000000003,
13,OR000003,HWB10,41065970800,WARM SPRINGS RIVER,Bureau of Indian Affairs,202,8.0000000,3,64,24,30,,,1962,,,,5,1300,,867,1311.349600000000009,44.866858000000001,-121.220074999999994,
14,OR000028,HWB10,41047000200,FRONT STREET 2,State Highway Agency,205,9.0000000,5,85,19,0,,,1977,,,,9,15300,,767,1959.340699999999970,44.944211000000003,-123.040592000000004,
15,OR000031,HWB10,41007951200,PLYMPTON CREEK,State Highway Agency,201,14.0000000,3,21,8,19,,,1958,,,,3,6100,,776,753.001499999999965,46.132241999999998,-123.377097000000006,
16,OR000036,HWB10,41065970100,FIFTEEN MILE CREEK,County Highway Agency,204,7.0000000,6,72,12,0,,,1919,,,,8,56,,666,1290.859699999999975,45.611578000000002,-121.122343999999998,
17,OR000038,HWB10,41009970500,TIDE CREEK,State Highway Agency,204,11.0000000,4,68,21,0,,,1958,,,,8,8300,,666,1915.799800000000005,45.905875000000002,-122.819675000000004,Functionally Obsolete
18,OR000039,HWB10,41053005300,MUD SLOUGH,State Highway Agency,201,28.0000000,3,37,15,0,,,1973,,,,5,28700,,666,2653.433899999999994,44.933605999999997,-123.183971999999997,
19,OR000043,HWB10,41071031000,ASH SWALE,State Highway Agency,204,12.0000000,6,91,15,0,,,1961,1961,,,5,6600,,666,2796.862799999999879,45.112544000000000,-123.206774999999993,
20,OR000044,HWB10,41039000403,CROW CREEK,State Highway Agency,204,13.0000000,2,13,6,20,,,1959,1959,,,3,6600,,665,432.847800000000007,44.270167000000001,-123.234925000000004,
21,OR000046,HWB10,41071030601,N YAMHILL RIVER,State Highway Agency,205,11.0000000,5,116,30,0,,,1959,,,,3,19200,,666,3268.128999999999905,45.231706000000003,-123.161225000000002,
22,OR000048,HWB10,41061970600,UPRR,State Highway Agency,202,7.0000000,3,40,13,28,,,1921,,,,N,80,,565,717.144300000000044,45.376188999999997,-118.303447000000006,
23,OR000057,HWB10,41053020202,RICKREALL CREEK,State Highway Agency,202,10.0000000,3,56,21,27,,,1960,,,,5,12300,,666,1434.288600000000088,44.928221999999998,-123.228661000000002,Functionally Obsolete
24,OR000058,HWB10,41059950300,WILDHORSE CREEK,City or Municipal High...,204,8.0000000,3,16,11,0,,,1960,,,,3,343,,667,327.837400000000002,45.765085999999997,-118.561581000000004,
25,OR000059,HWB10,41057960400,POTB RR (JUNO),State Highway Agency,204,11.0000000,3,55,18,54,,,1931,,,,N,14000,,566,1549.543899999999894,45.489367000000001,-123.845669000000001,Functionally Obsolete
26,OR000067,HWB10,41011001100,MIDDLE FK COQUILLE RIVER,State Highway Agency,204,13.0000000,3,43,16,45,,,1984,1984,,,5,3000,,655,1431.727399999999989,42.961775000000003,-123.855389000000002,
27,OR000073,HWB10,41005022901,Beaver CK,State Highway Agency,204,17.0000000,9,89,18,0,,,1929,,,,3,24900,,555,3875.140499999999975,45.297446999999998,-122.657972000000001,
28,OR000076,HWB10,41019170000,TENMILE CREEK,State Highway Agency,204,9.0000000,3,43,18,37,,,1949,,,,5,3600,,665,991.195900000000051,43.016061000000001,-123.689733000000004,
29,OR000079,HWB10,41071030502,SOUTH YAMHILL RIVER,State Highway Agency,204,8.0000000,2,31,16,15,,,1929,,,,3,2100,,555,635.184999999999945,45.091510999999997,-123.675327999999993,Functionally Obsolete
30,OR000082,HWB10,41027950400,MHR & UNNAMED CR,State Highway Agency,202,11.0000000,3,43,17,48,,,1962,,,,N,7800,,667,1211.461600000000089,45.648650000000004,-121.513006000000004,Functionally Obsolete
31,OR000083,HWB10,41029002500,JENNY CREEK,State Highway Agency,201,12.0000000,3,29,12,0,,,1983,,,,8,490,,766,891.307900000000018,42.118035999999996,-122.365969000000007,
32,OR000086,HWB10,41001950300,UPRR,County Highway Agency,202,7.0000000,3,34,12,0,,,1922,,,,N,112,,555,609.572700000000054,44.629156000000002,-117.516060999999993,Functionally Obsolete
