OBJECTID,ORIG_FID,FCLASS,URBAN_CODE,ROUNDED_SPEED,Volume,Capacity,VCR,Artificial,Shape_Length,MODE_TYPE,MILES,POINT_X,POINT_Y
1,304,,,,,,,1,151.566114415673468,road,0.094178628859613,-1966404.718400001525879,1237563.598099999129772
2,308,,,,,,,1,676.208874863114033,road,0.420175874421730,-1966775.217100001871586,1244438.308600001037121
3,395,,,,,,,1,2309.869803619355480,road,1.435283683214870,-1962400.907700002193451,1261890.376600001007318
4,422,,,,,,,1,401.923060988833868,road,0.249742912107487,-2059570.423299998044968,1031848.770399998873472
5,428,,,,,,,1,312.047051152335825,road,0.193896660414575,-2059779.307999998331070,1032170.188000001013279
6,456,,,,,,,1,295.993146461355423,road,0.183921246467544,-2059736.910099998116493,1032066.228399999439716
7,459,,,,,,,1,459.502071277675611,road,0.285520778822634,-2061251.613700002431870,1036941.062699999660254
8,460,,,,,,,1,1113.647180075083497,road,0.691986892038448,-1954941.522100001573563,1344853.888599999248981
9,508,,,,,,,1,225.209972242923982,road,0.139938709078345,-1966343.706100001931190,1239593.914000000804663
10,516,,,,,,,1,703.997188161449117,road,0.437442697252466,-1966574.454999998211861,1248808.653900001198053
11,530,,,,,,,1,301.671369949546261,road,0.187449523909622,-2061887.077200002968311,1036032.253899998962879
12,551,,,,,,,1,917.397244497082056,road,0.570043079479958,-2062115.675399996340275,1038301.896000001579523
13,556,,,,,,,1,356.156799018825154,road,0.221305132218610,-2060947.256899997591972,1034109.888000000268221
14,562,,,,,,,1,273.446694192576615,road,0.169911558560002,-2062142.183300003409386,1037253.170600000768900
15,570,,,,,,,1,1000.269260000376448,road,0.621537259567784,-2058194.248499996960163,1094504.389100000262260
16,600,,,,,,,1,265.137448415550921,road,0.164748442931191,-2061839.176500000059605,1035830.829700000584126
17,603,,,,,,,1,823.221700841452503,road,0.511525226675000,-2062086.420699998736382,1038081.321400001645088
18,605,,,,,,,1,323.871421748153864,road,0.201243968974508,-1982968.405400000512600,1206014.278200000524521
19,630,,,,,,,1,385.089318575952518,road,0.239282930434584,-1983023.758599996566772,1206224.160799998790026
20,667,,,,,,,1,279.515396673158932,road,0.173682467913862,-1966784.967299997806549,1239089.495099999010563
21,670,,,,,,,1,344.936734818239017,road,0.214333321492962,-2054684.550099998712540,1038799.380100000649691
22,720,,,,,,,1,168.697008484744913,road,0.104823251642115,-1370868.627700001001358,1011591.785599999129772
23,721,,,,,,,1,93.252860461004943,road,0.057944525194914,-1195339.097400002181530,863991.669799998402596
24,722,,,,,,,1,31.793270707793614,road,0.019755383013981,-1291444.308399997651577,605586.173099998384714
25,726,,,,,,,1,148.432578222617877,road,0.092231543633593,-1449809.537799999117851,1106429.776500001549721
26,727,,,,,,,1,443.244643315948849,road,0.275418901631138,-1596614.609399996697903,1149832.740100000053644
27,732,,,,,,,1,135.693889122535580,road,0.084316105030843,-1598073.023900002241135,1157188.301199998706579
28,738,,,,,,,1,63.405705863144320,road,0.039398400249874,-1276504.442299999296665,889744.594799999147654
29,752,,,,,,,1,241.430759320449170,road,0.150017818725475,-1202530.862499997019768,352274.898099999874830
30,787,,,,,,,1,3217.757010457384240,road,1.999417511074920,-1154525.883900001645088,372653.462499998509884
31,846,,,,,,,1,454.709709429246402,road,0.282542949182914,-1338164.991800002753735,554892.688799999654293
32,875,,,,,,,1,105.267258910534267,road,0.065409911352710,-1251496.948399998247623,351853.797100000083447
33,898,,,,,,,1,657.041921441215095,road,0.408266105541992,-1617448.433799996972084,690286.322599999606609
34,900,,,,,,,1,110.280094012862364,road,0.068524736447071,-1440815.949299998581409,529406.403900001198053
35,1025,,,,,,,1,392.832017255409710,road,0.244094010721993,-1762381.262800000607967,1023917.133099999278784
36,1028,,,,,,,1,342.531933877453412,road,0.212839050453841,-2049239.658299997448921,1030563.083999998867512
37,1064,,,,,,,1,112.996663031611035,road,0.070212730801050,-1332501.503499999642372,549214.365600001066923
38,1098,,,,,,,1,73.643117742454706,road,0.045759620352280,-1753650.904500000178814,1133612.879900000989437
39,1181,,,,,,,1,427.554956607554971,road,0.265669801793552,-2139325.474399998784065,885321.356300000101328
40,1383,,,,,,,1,1289.206328565124977,road,0.801074071269081,-1943752.900899998843670,1334061.943900000303984
41,1384,,,,,,,1,102.905055771001955,road,0.063942109307202,-1967659.915399998426437,1222040.130300000309944
42,1385,,,,,,,1,579.336963044393883,road,0.359982579467452,-1960899.244199998676777,1222776.046199999749660
43,1386,,,,,,,1,774.816255320299547,road,0.481447537436240,-1983414.238399997353554,1186966.296500001102686
44,1388,,,,,,,1,178.568327020036151,road,0.110956992341837,-1146696.946199998259544,368511.539200000464916
45,1391,,,,,,,1,82.395444970722025,road,0.051198053480071,-1167631.544799998402596,838646.206700000911951
46,1750,,,,,,,1,0.612739951012588,road,0.000380738192414,-2059223.209899999201298,1036312.103399999439716
47,1752,,,,,,,1,9.952229178912690,road,0.006184016142263,-1966346.785700000822544,1239425.816799998283386
48,1753,,,,,,,1,359.725275528054397,road,0.223522476286924,-2050614.208400003612041,1035319.048399999737740
49,1754,,,,,,,1,23.859940467230917,road,0.014825850003076,-1329774.693999998271465,311133.923200000077486
50,1768,,,,,,,1,396.101010119233422,road,0.246125264652687,-2055454.687299996614456,1040288.815400000661612
51,1769,,,,,,,1,36.091497565018031,road,0.022426172019172,-2058340.778800003230572,1095012.976500000804663
52,1770,,,,,,,1,106.297326722723184,road,0.066049964537147,-2053438.501699998974800,1082026.822399999946356
53,1771,,,,,,,1,610.026494574379512,road,0.379052132124263,-2094991.570699997246265,1207169.306000001728535
54,1772,,,,,,,1,44.649705716316411,road,0.027743985385912,-2057993.540799997746944,1040013.801899999380112
55,1793,,,,,,,1,491.098225976529420,road,0.305153679872095,-2060946.659999996423721,1036830.890700001269579
56,1796,,,,,,,1,70.499880313712481,road,0.043806507069931,-1965986.144500002264977,1237106.503899998962879
57,1797,,,,,,,1,3.646924867387322,road,0.002266089520660,-1980097.065800003707409,1205912.505300000309944
58,1807,,,,,,,1,634.580546370487923,road,0.394309282048708,-1608629.806500002741814,1009506.630600001662970
59,1837,,,,,,,1,111.192497295655485,road,0.069091676428819,-1371028.029700003564358,1011814.131099998950958
60,1843,,,,,,,1,100.525642878893393,road,0.062463613638605,-1982676.034599997103214,1204397.666200000792742
61,2192,0,0,35,2010.000000000000000,12992.911392405050719,0.154699738903394,0,8954.621594742155139,road,5.564132768071320,-2181495.687399998307228,484604.019600000232458
62,2193,0,0,35,2000.000000000000000,12983.050847457650889,0.154046997389033,0,9136.516684038404492,road,5.677156910520710,-2178632.547899998724461,493038.273600000888109
63,3179,0,0,30,4261.000000000000000,12517.077935222649103,0.340414913292958,0,211.526029610660430,road,0.131435918336043,-2243658.668499998748302,838560.741200000047684
64,3180,0,0,30,4261.000000000000000,12517.077935222649103,0.340414913292958,0,457.598594677902781,road,0.284338015663968,-2243544.842799998819828,839040.325500000268221
65,3181,0,0,30,56498.000000000000000,12760.228902792599911,4.427663518452659,0,256.400899066760758,road,0.159319813703573,-2060262.493600003421307,1032259.602000001817942
66,3182,0,0,30,56498.000000000000000,12760.228902792599911,4.427663518452659,0,270.137787998883425,road,0.167855503685544,-2059678.381899997591972,1040427.802700001746416
67,3183,0,0,30,56498.000000000000000,12760.228902792599911,4.427663518452659,0,281.086926009450224,road,0.174658969018183,-2058390.704199999570847,1039759.446299999952316
68,3184,0,0,30,56498.000000000000000,12760.228902792599911,4.427663518452659,0,363.268889559203615,road,0.225724371558489,-2060647.173900000751019,1037059.701900001615286
69,3185,0,0,30,56498.000000000000000,12760.228902792599911,4.427663518452659,0,343.389842059305010,road,0.213372128817469,-2049452.757899999618530,1030447.326799999922514
70,3186,0,0,30,56498.000000000000000,12760.228902792599911,4.427663518452659,0,302.653121953050402,road,0.188059555102456,-2049360.687600001692772,1030756.949000000953674
71,3187,0,0,30,126.000000000000000,13059.000000000000000,0.009648518263267,0,73.572482405699773,road,0.045715729676648,-2122563.009499996900558,1123783.787900000810623
72,3312,0,0,35,254.000000000000000,5000.000000000000000,0.050800000000000,0,43414.735992937487026,road,26.976612311268099,-2116531.005099996924400,462323.436500001698732
73,5088,0,0,45,0.000000000000000,5000.000000000000000,0.000000000000000,0,13163.949940886956028,road,8.179682909922970,-2182542.207400001585484,494561.504900000989437
74,5089,0,0,45,0.000000000000000,5000.000000000000000,0.000000000000000,0,2813.906188362908779,road,1.748476746146590,-2186536.999700002372265,500949.843400001525879
75,5090,0,0,45,0.000000000000000,5000.000000000000000,0.000000000000000,0,4141.858004254701882,road,2.573626098919000,-2184773.277000002563000,499607.359999999403954
76,5091,0,0,45,0.000000000000000,5000.000000000000000,0.000000000000000,0,7218.776625971084286,road,4.485530867494970,-2192027.697700001299381,500372.278000000864267
77,5092,0,0,45,0.000000000000000,5000.000000000000000,0.000000000000000,0,4931.874974394751916,road,3.064518903755070,-2182342.405699998140335,505245.486400000751019
78,5222,0,0,45,4367.000000000000000,12928.391304347849655,0.337783711615488,0,16529.516139855077199,road,10.270944608997700,-1933861.377700001001358,435989.060699999332428
79,5223,0,0,45,3943.000000000000000,12986.799781181600338,0.303615984417775,0,42821.167790681523911,road,26.607786867410500,-1907654.674999997019768,439346.169599998742342
80,5502,0,0,45,0.000000000000000,5000.000000000000000,0.000000000000000,0,2778.836096609860761,road,1.726685245005210,-2184212.841099999845028,502143.517000000923872
81,5503,0,0,45,0.000000000000000,5000.000000000000000,0.000000000000000,0,5953.169608589339987,road,3.699120699024030,-2194555.506599999964237,495054.739799998700619
82,6206,0,0,45,2443.000000000000000,13458.081272084800730,0.181526619627967,0,19025.007843877298001,road,11.821568163091101,-1987841.436499997973442,1367830.983100000768900
83,6207,0,0,45,2443.000000000000000,13458.081272084800730,0.181526619627967,0,15370.684243589692414,road,9.550881292142140,-1979068.857600003480911,1355058.417800001800060
84,6208,0,0,45,150.000000000000000,12679.411764705899259,0.011830201809325,0,631.057062599391429,road,0.392119895115815,-1821468.041699998080730,997137.424300000071526
