OBJECTID,ORIG_FID,fault_name,section_name,fault_id,section_id,Location,linetype,age,dip_direction,slip_rate,slip_sense,mapped_scale,class,mapped_certainty,strike,total_fault_length,cooperators,earthquake,last_review,fault_url,symbology,ref_id,Fault_ID_num,Shape_Length,POINT_X,POINT_Y
1,1394,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,NW,Between 0.2 and 1.0 mm/yr,Normal,"1:100,000",A,Good,N14°E,77,U.S. Geological Survey,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.130330565016996,-120.066858773999968,42.760010948000058
2,1394,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,NW,Between 0.2 and 1.0 mm/yr,Normal,"1:100,000",A,Good,N14°E,77,U.S. Geological Survey,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.130330565016996,-120.071280086999991,42.755396705000067
3,1394,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,NW,Between 0.2 and 1.0 mm/yr,Normal,"1:100,000",A,Good,N14°E,77,U.S. Geological Survey,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.130330565016996,-120.075525022999955,42.750620211000069
4,1394,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,NW,Between 0.2 and 1.0 mm/yr,Normal,"1:100,000",A,Good,N14°E,77,U.S. Geological Survey,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.130330565016996,-120.079424217999986,42.745553335000068
5,1394,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,NW,Between 0.2 and 1.0 mm/yr,Normal,"1:100,000",A,Good,N14°E,77,U.S. Geological Survey,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.130330565016996,-120.083124133999945,42.740341181000076
6,1394,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,NW,Between 0.2 and 1.0 mm/yr,Normal,"1:100,000",A,Good,N14°E,77,U.S. Geological Survey,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.130330565016996,-120.087737141999980,42.735993433000033
7,1394,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,NW,Between 0.2 and 1.0 mm/yr,Normal,"1:100,000",A,Good,N14°E,77,U.S. Geological Survey,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.130330565016996,-120.093057094999949,42.732451309000055
8,1394,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,NW,Between 0.2 and 1.0 mm/yr,Normal,"1:100,000",A,Good,N14°E,77,U.S. Geological Survey,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.130330565016996,-120.098379043999955,42.728940957000077
9,1394,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,NW,Between 0.2 and 1.0 mm/yr,Normal,"1:100,000",A,Good,N14°E,77,U.S. Geological Survey,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.130330565016996,-120.104204531999983,42.726409128000057
10,1394,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,NW,Between 0.2 and 1.0 mm/yr,Normal,"1:100,000",A,Good,N14°E,77,U.S. Geological Survey,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.130330565016996,-120.109612432999938,42.723064966000038
11,1394,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,NW,Between 0.2 and 1.0 mm/yr,Normal,"1:100,000",A,Good,N14°E,77,U.S. Geological Survey,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.130330565016996,-120.113673733999974,42.718141185000036
12,1394,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,NW,Between 0.2 and 1.0 mm/yr,Normal,"1:100,000",A,Good,N14°E,77,U.S. Geological Survey,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.130330565016996,-120.118816183999968,42.714481688000035
13,1394,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,NW,Between 0.2 and 1.0 mm/yr,Normal,"1:100,000",A,Good,N14°E,77,U.S. Geological Survey,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.130330565016996,-120.122343595999951,42.709661359000052
14,1394,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,NW,Between 0.2 and 1.0 mm/yr,Normal,"1:100,000",A,Good,N14°E,77,U.S. Geological Survey,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.130330565016996,-120.122812312999940,42.703303404000053
15,1394,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,NW,Between 0.2 and 1.0 mm/yr,Normal,"1:100,000",A,Good,N14°E,77,U.S. Geological Survey,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.130330565016996,-120.127925271999970,42.699884946000054
16,1394,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,NW,Between 0.2 and 1.0 mm/yr,Normal,"1:100,000",A,Good,N14°E,77,U.S. Geological Survey,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.130330565016996,-120.133373041999960,42.697149020000040
17,1394,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,NW,Between 0.2 and 1.0 mm/yr,Normal,"1:100,000",A,Good,N14°E,77,U.S. Geological Survey,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.130330565016996,-120.138007152999990,42.694280546000073
18,1394,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,NW,Between 0.2 and 1.0 mm/yr,Normal,"1:100,000",A,Good,N14°E,77,U.S. Geological Survey,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.130330565016996,-120.143245627999988,42.690695682000069
19,1394,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,NW,Between 0.2 and 1.0 mm/yr,Normal,"1:100,000",A,Good,N14°E,77,U.S. Geological Survey,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.130330565016996,-120.148922913999968,42.687757902000044
20,1394,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,NW,Between 0.2 and 1.0 mm/yr,Normal,"1:100,000",A,Good,N14°E,77,U.S. Geological Survey,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.130330565016996,-120.154316621999953,42.684346928000025
21,1395,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,NW,Between 0.2 and 1.0 mm/yr,Normal,unspecified,A,Good,N14°E,77,Oregon Department of Geology and Mineral Industries ,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.006407193200664,-120.233899631999975,42.504021964000060
22,1396,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,NW,Between 0.2 and 1.0 mm/yr,Normal,unspecified,A,Good,N14°E,77,Oregon Department of Geology and Mineral Industries ,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.006645492153359,-120.229568401999984,42.531055838000043
23,1397,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,NW,Between 0.2 and 1.0 mm/yr,Normal,unspecified,A,Good,N14°E,77,Oregon Department of Geology and Mineral Industries ,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.027394954656571,-120.220987563999984,42.526370774000043
24,1397,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,NW,Between 0.2 and 1.0 mm/yr,Normal,unspecified,A,Good,N14°E,77,Oregon Department of Geology and Mineral Industries ,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.027394954656571,-120.224627561999966,42.521213841000076
