OBJECTID,FID_road,FCLASS,URBAN_CODE,ROUNDED_SPEED,Volume,Capacity,VCR,Artificial,MODE_TYPE,MILES,FID_HighwayBridge_3state,HighwayBridgeId,BridgeClass,Tract,Name,Owner,BridgeType,Width,NumSpans,Length,MaxSpanLength,SkewAngle,SeatLength,SeatWidth,YearBuilt,YearRemodeled,PierType,FoundationType,ScourIndex,Traffic,TrafficIndex,Condition,Cost,Latitude,Longitude,Comment
1,277508,4,99999,60,3297.000000000000000,22043.210116731501330,0.149569866754456,0,road,3.700842962843470,19044,ID003019,HWB4 ,16041970200,CUB RIVER,State Highway Agency,502,22.0000000,1,23,22,14,,,2006,,,,8,7200,,688,2104.501099999999951,42.023611000000002,-111.806944000000001,
2,181358,3,99999,55,1209.000000000000000,5000.000000000000000,0.241800000000000,0,road,8.695477523592540,16942,ID000734,HWB3 ,16007950200,ST CHARLES CR.;S.BRANCH,State Highway Agency,104,11.0000000,1,9,8,0,,,1956,,,,8,1600,,676,346.762499999999989,42.118414000000001,-111.388789000000003,
3,181358,3,99999,55,1209.000000000000000,5000.000000000000000,0.241800000000000,0,road,8.695477523592540,17210,ID001352,HWB3 ,16007950200,ST. CHARLES CR N. BRIDGE,City or Municipal High...,302,8.0000000,1,9,9,0,,,1931,1931,,,U,50,,665,252.190899999999999,42.123761000000002,-111.391400000000004,
4,197707,3,99999,65,850.000000000000000,6722.500000000000000,0.126441056154704,0,road,0.192294509376942,17210,ID001352,HWB3 ,16007950200,ST. CHARLES CR N. BRIDGE,City or Municipal High...,302,8.0000000,1,9,9,0,,,1931,1931,,,U,50,,665,252.190899999999999,42.123761000000002,-111.391400000000004,
5,181358,3,99999,55,1209.000000000000000,5000.000000000000000,0.241800000000000,0,road,8.695477523592540,19037,ID003005,HWB4 ,16007950200,ST CHARLES CREEK,State Highway Agency,502,18.0000000,1,26,26,17,,,2013,,,,8,1400,,888,1946.455600000000004,42.123610999999997,-111.390833000000001,
6,197707,3,99999,65,850.000000000000000,6722.500000000000000,0.126441056154704,0,road,0.192294509376942,19037,ID003005,HWB4 ,16007950200,ST CHARLES CREEK,State Highway Agency,502,18.0000000,1,26,26,17,,,2013,,,,8,1400,,888,1946.455600000000004,42.123610999999997,-111.390833000000001,
7,44683,1,99999,75,4670.000000000000000,24525.081168831151444,0.190417310664606,0,road,0.289032177749013,16682,ID000121,HWB3 ,16071960100,STC 1702;WOODRUFF RD.IC,State Highway Agency,505,13.0000000,1,42,41,0,,,1975,,,,N,5250,,666,1912.447499999999991,42.036752999999997,-112.210919000000004,
8,45045,1,99999,75,4700.000000000000000,24553.709677419348736,0.191417104044459,0,road,2.532194666668150,16682,ID000121,HWB3 ,16071960100,STC 1702;WOODRUFF RD.IC,State Highway Agency,505,13.0000000,1,42,41,0,,,1975,,,,N,5250,,666,1912.447499999999991,42.036752999999997,-112.210919000000004,
9,44683,1,99999,75,4670.000000000000000,24525.081168831151444,0.190417310664606,0,road,0.289032177749013,16683,ID000122,HWB3 ,16071960100,STC 1702;WOODRUFF RD.IC,State Highway Agency,505,13.0000000,1,42,41,0,,,1975,,,,N,5250,,666,1912.447499999999991,42.036667000000001,-112.211364000000003,
10,45045,1,99999,75,4700.000000000000000,24553.709677419348736,0.191417104044459,0,road,2.532194666668150,16683,ID000122,HWB3 ,16071960100,STC 1702;WOODRUFF RD.IC,State Highway Agency,505,13.0000000,1,42,41,0,,,1975,,,,N,5250,,666,1912.447499999999991,42.036667000000001,-112.211364000000003,
