OBJECTID,Facility_Name,optimal,Dataset,FIPS,POINT_X,POINT_Y
2,candidate_gft_10717,1.000000000000000,processors,2,-123.041680255066041,43.806061278716705
11,candidate_gft_11521,1.000000000000000,processors,11,-122.768935320489462,45.281597493490565
12,candidate_gft_11563,1.000000000000000,processors,12,-122.874568885404756,46.549164145763619
20,candidate_gft_12530,1.000000000000000,processors,20,-122.898493232597374,45.555959474711365
35,candidate_gft_13996,1.000000000000000,processors,35,-123.061254030018333,43.772816179971542
36,candidate_gft_14232,1.000000000000000,processors,36,-123.112502901970728,45.610998737289250
38,candidate_gft_14412,1.000000000000000,processors,38,-123.061723439003458,44.646211150493876
39,candidate_gft_14415,1.000000000000000,processors,39,-122.881040665548227,46.477214121238795
48,candidate_gft_15727,1.000000000000000,processors,48,-123.004180252256702,43.998484010646088
59,candidate_gft_17408,1.000000000000000,processors,59,-122.821436398278365,47.050883282107264
64,candidate_gft_18347,1.000000000000000,processors,64,-123.216201613787604,43.710692832960426
69,candidate_gft_18570,1.000000000000000,processors,69,-123.006218497336576,46.804273457468049
96,candidate_gft_2770,1.000000000000000,processors,96,-122.671980999446660,45.499748852190777
107,candidate_gft_4087,1.000000000000000,processors,107,-117.877005496525356,47.671708434233629
108,candidate_gft_4226,1.000000000000000,processors,108,-122.817580878247696,47.050280284787881
115,candidate_gft_5782,1.000000000000000,processors,115,-122.977016229817735,46.662863390094486
119,candidate_gft_6478,1.000000000000000,processors,119,-123.025363112125049,44.024450237819522
124,candidate_gft_7728,1.000000000000000,processors,124,-122.687467164757223,45.517951177204360
128,candidate_gft_7544,1.000000000000000,processors,128,-122.903843504891881,47.023488722798980
137,candidate_gft_7783,1.000000000000000,processors,137,-122.738289388456721,45.445978386309605
138,candidate_gft_8410,1.000000000000000,processors,138,-122.885529566458231,46.583993223649010
143,candidate_gft_9630,1.000000000000000,processors,143,-122.831775191936202,47.049765098785130
